mark1_id,mark2_id,mark1_wordmark,mark2_wordmark,mark1_status,mark2_status,label,pair_type,mark1_wordmark_en,mark1_wordmark_ha,mark1_wordmark_yo,mark2_wordmark_en,mark2_wordmark_ha,mark2_wordmark_yo,mark1_length,mark2_length,length_diff,visual_levenshtein,visual_jaro_winkler,soundex_match,metaphone_match,semantic_similarity_en,semantic_similarity_ha,semantic_similarity_yo
927315564,900857102.0,BRAZIL REAL,BRASIL REAL,Pedido de registro de marca indeferido,Registro de marca em vigor,1,positive,REAL BRAZIL,GASKIYA BRAZIL,ODODO BRAZIL,REAL BRAZIL,GASKIYA BRAZIL,ODODO BRAZIL,11,11,0,1,0.9575757575757576,1,1,1.0,0.9999998807907104,1.0000001192092896
927091305,829468625.0,REVITA SILOS MANUTENv·v…O E REVITALIZAv·v…O,REVITA ENGENHARIA,Pedido de registro de marca indeferido,Registro de marca em vigor,1,positive,REVITA SILOS MAINTENANCEv·v…O AND REVITALIZAv·v…O,REVITA SILOS MAINTENANCEv v O KUMA REVITALIZAv v O,REVITA SILOS MANTENANCEv v O ATI REVITALIZAv v O,REVITA ENGENHARIA,REVITA ENJERIYA,REVITA ENGANHARIA,43,17,26,30,0.677063383492932,0,0,0.5897126197814941,0.6071090698242188,0.5906184315681458
,,Lojas Paga Pouco,NEW OLD GREEN,,,0,negative,Stores Pay Little,Stores Biya Kadan,Awọn ile itaja Sanwo Kekere,NEW OLD GREEN,sabon TSOHUWAR GREEN,títun Ògbólógbòó ALAWE,16,13,3,14,0.36164529914529914,0,0,-0.02042311057448387,0.2638467252254486,0.622979462146759
,,OKAN,REAL GESSO DRYWALL,,,0,negative,OKAN,Okan,Okan,REAL PLASTER DRYWALL,GASKIYA PLASTER DRYWALL,ODODO Pilasita ÒGÚN,4,18,14,16,0.4351851851851852,0,0,0.3595147728919983,0.41784948110580444,0.5692211985588074
927347776,904691705.0,LeOffer,OFFER % TV,Pedido de registro de marca indeferido,Registro de marca em vigor,1,positive,LeOffer,LeOffer,LeOffer,OFFER %TV,BAYANI TV,Ìfilọ TV,7,10,3,10,0.4142857142857143,0,0,0.24821336567401886,0.2647936940193176,0.33223697543144226
927318032,912253525.0,KAVILA,CAOVILLA,Pedido de registro de marca indeferido,Registro de marca em vigor,1,positive,KAVILA,KAVILA,KAVILA,CAOVILLA,CAOVILLA,CAOVILLA,6,8,2,3,0.8194444444444445,0,1,0.8747299313545227,0.8747299313545227,0.8747299313545227
927376172,921608578.0,Maria Papeleira,Maria papeleira livraria e papelaria desde 2004,Pedido de registro de marca indeferido,Registro de marca em vigor,1,positive,Maria Papeleira,Mariya Papeleira,Maria Papeleira,Maria Papeleira bookstore and stationery since 2004,Mariya Papeleira kantin sayar da littattafai KUMA kayan aikin rubutu tun 2004,Maria Papeleira ile itaja iwe ATI ohun elo ikọwe niwon Ọdun 2004,15,47,32,33,0.8319554204660587,1,0,0.6660655736923218,0.7997950315475464,0.6859697103500366
,,REVITA V ENGENHARIA SUSTENTv≈VEL,EMPRESA MAIS LUCRATIVA,,,0,negative,REVITA V SUSTAINABLE ENGINEERINGv≈VEL,REVITA v MAI DOrewa ENGINEERINGv VEL,REVITA v ALAYE ENGINEERINGv VEL,MOST PROFITABLE COMPANY,MAFI YAWA RIBA kamfani,Julọ ERE ilé-iṣẹ́,32,22,10,24,0.6174242424242424,0,0,0.1844983994960785,0.5321627855300903,0.37639063596725464
927332272,822282259.0,REAL GESSO DRYWALL,REAL,Pedido de registro de marca indeferido,Registro de marca em vigor,1,positive,REAL PLASTER DRYWALL,GASKIYA PLASTER DRYWALL,ODODO Pilasita ÒGÚN,REAL,GASKIYA,ODODO,18,4,14,14,0.8444444444444446,0,0,0.7080520391464233,0.7135528922080994,0.752478837966919
927321700,903123983.0,Poison,PLUSH POISON,Pedido de registro de marca indeferido,Registro de marca em vigor,1,positive,Poison,Guba,Majele,PLUSH POISON,PLUSH Guba,PLUSH Majele,6,12,6,11,0.4166666666666667,0,0,0.3783028721809387,0.9384122490882874,0.8555967807769775
